COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808400246	"DINUCCI Federico-DINUCCI Manlio-PELLEGRINI Carla"	Geocommunity			"Volume 3 con Laboratorio delle competenze"	2340	312	"230x285, 2013"
9788808180209	"CALLEGARI Antonella-LONGONI Beatrice-PICCHIONI Enrica"	"Principi e tecniche di mobilizzazione"	"Prendersi cura di sé e degli altri"		"Volume unico"	2290	200	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 197x270, 2008"
9788808185846	"LUMLEY John S.P.-RENDE Mario"	"Anatomia di superficie"	"Le basi anatomiche dell'esame clinico"	"Seconda edizione"	"Volume unico"	3630	140	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 220x275, 2013"
9788808184580	"CIAPPELLANO Salvatore-FOSCHINO Roberto Carmine-GIOVANELLI Gabriella-GIUBILESI Massimo-GUIDETTI Riccardo-LAVELLI Vera-MONTANARI Antonio-PORRINI Marisa"	"Manuale della ristorazione"	"Management - Progettazione dei pasti - Nutrizione - Igiene - Merceologia - Tecnologia - Legislazione"		"Volume unico"	8650	768	"Casa Editrice Ambrosiana. Distribuzione esclusiva Zanichelli, 197x270, 2009"
9788808620521	"ATKINS Peter William-DE PAULA Julio-KEELER James"	"Chimica Fisica"		"Sesta edizione italiana condotta sull'undicesima edizione inglese"	"Volume unico + ebook"	12000	944	", , 210x280, 2020"
9788808135896	"BOSCHI Maria Pia-RIZZONI Pietro"	Biochimicamente			"Microrganismi, biotecnologie e fermentazioni"	2170	256	"197x266, 2013"
9788808194152	"BOSCHI Maria Pia-RIZZONI Pietro"	Biochimicamente			Laboratorio	1600	192	"197x266, 2013"
9788808199416	"BOSCHI Maria Pia-RIZZONI Pietro"	Biochimicamente			"Le biomolecole"	2050	240	"197x266, 2013"
9788808434791	"BOSCHI Maria Pia-RIZZONI Pietro"	Biochimicamente			"L'energia e i metabolismi"	1380	168	"197x266, 2013"
9788808294227	"TANCON Erica"	"Refresh Your English"	"500 dubbi di inglese e più di 150 esercizi di autoverifica con test finale"		"Volume unico"	2060	272	", , 145x210, 2016"
9788808235091	"FANTINI Fabio-MONESI Simona-PIAZZINI Stefano"	"Le basi delle scienze naturali"			"Confezione Volume unico con Palestra delle competenze"	3920	386	"Italo Bovolenta editore. Distribuzione esclusiva Zanichelli, 230x285, 2014"
9788808157553	"PIEROZZI Laura"	"Una vuelta por la cultura hispana"		"seconda edizione"	"Volume unico"	1920	192	"210x285, 2015"
9788808268402	"FABIANI Massimo"	"Diritto della crisi e dell'insolvenza"			"Volume unico"	6600	656	", , 170x237, 2017"
9788808831255	"FORNILI Flavia-SERAFINI Teresa"	"Parole e testi in gioco edizione rossa"	"Parlare e scrivere bene"		"Confezione Volume 1 + 2 + Quaderno"	2990	1424	", , 197x265, 2019"
9788808929143	"FORNILI Flavia-SERAFINI Teresa"	"Parole e testi in gioco edizione rossa"	"Parlare e scrivere bene"		"Confezione Volume 1 + Quaderno"	2480	1008	", , 197x265, 2019"
9788808957344	"FORNILI Flavia-SERAFINI Teresa"	"Parole e testi in gioco edizione rossa"	"Parlare e scrivere bene"		"Volume 2"	1150	416	", , 197x265, 2019"
9788808977793	"FORNILI Flavia-SERAFINI Teresa"	"Parole e testi in gioco edizione rossa"	"Parlare e scrivere bene"		"Confezione Volume 1A + 1B + Quaderno"	2590	1024	", , 197x265, 2019"
9788808820334	"DONISOTTI Cinzia"	"Elementi di igiene e cultura medico-sanitaria"			"Volume unico"	3480	464	", Clitt editore. Distribuzione esclusiva Zanichelli, 197x285, 2020"
